element_category,osm_id,osm_type,code_province,commune_code,name,is_motorway,is_oncf,geom_type,geom_wkt,tags_json
port,647247735,node,MA-01-051,MA-01-051-0101,الحسيمة,False,False,Point,POINT(-3.9234251 35.2463576),"{""amenity"": ""ferry_terminal"", ""ferry"": ""yes"", ""name"": ""الحسيمة"", ""name:ar"": ""الحسيمة"", ""name:azb"": ""حسیمه"", ""name:de"": ""Alhucemas"", ""name:en"": ""Al Hoceima"", ""name:es"": ""Alhucemas"", ""name:fr"": ""Al Hoceïma"", ""name:ur"": ""الحسیمہ"", ""public_transport"": ""stop_position""}"
route,34022870,way,MA-01-051,,,False,False,LineString,"LINESTRING(-4.5697506 34.9099327, -4.5690988 34.912417, -4.5690666 34.9125501, -4.5690599 34.9126898, -4.569072 34.912847, -4.5691115 34.913282, -4.5691793 34.9135245, -4.5692906 34.9138478, -4.5693607 34.9140156, -4.5693885 34.914082, -4.5694743 34.9142261, -4.5695387 34.9143152, -4.5696098 34.9143932, -4.5697546 34.9145395, -4.5703661 34.9150872, -4.5706577 34.9153273, -4.5707104 34.9154047, -4.5707244 34.9154276, -4.5708088 34.9155655, -4.5708821 34.9156813, -4.5709254 34.9157497, -4.5709735 34.9158256, -4.5710614 34.9159644, -4.5710701 34.915978, -4.5711232 34.9160714, -4.5713829 34.9165111, -4.5714538 34.9166196)","{""highway"": ""secondary"", ""lanes"": ""2"", ""maxspeed"": ""40"", ""old_ref"": ""R509"", ""oneway"": ""no"", ""ref"": ""RR509"", ""surface"": ""asphalt""}"
route,34141625,way,MA-01-051,,,False,False,LineString,"LINESTRING(-4.027538 35.0768472, -4.0275809 35.0767187, -4.027656 35.0765783, -4.0277888 35.0762951, -4.0279175 35.076013, -4.028048 35.0757481, -4.0281536 35.0756069, -4.0283051 35.0754434, -4.0285224 35.075281, -4.0286846 35.0751284, -4.0287691 35.0750263, -4.0288281 35.0749275, -4.0288709 35.0747586, -4.0288671 35.0745951, -4.0288171 35.0744127, -4.0286507 35.0740858, -4.0284752 35.0736927, -4.0283907 35.0734978, -4.0283561 35.0733641, -4.0283324 35.073232, -4.0283484 35.0731047, -4.0284312 35.0728992, -4.0286243 35.0725546, -4.0288764 35.0720738, -4.0290803 35.0717994, -4.0292814 35.0715623, -4.0293668 35.0714699, -4.0294719 35.071356, -4.0295832 35.0712517, -4.0297025 35.0711156, -4.0298554 35.0708994, -4.030121 35.0704625, -4.0303892 35.0700257, -4.0304375 35.0699477, -4.0305193 35.0698413, -4.0306239 35.0697403, -4.0307312 35.0696668, -4.0310946 35.069512, -4.031564 35.0693188, -4.0318161 35.069231, -4.0320052 35.0691937, -4.032142 35.0691893, -4.0322828 35.0692003, -4.0327469 35.0692771, -4.0335247 35.0693913, -4.0342221 35.0694417, -4.0347666 35.0694527, -4.0352869 35.0693825, -4.0358046 35.0692881, -4.0362257 35.0691739, -4.0365583 35.06904, -4.0368909 35.0688776, -4.0372463 35.0686525, -4.0374072 35.0685252, -4.0375265 35.0684648, -4.0376231 35.0684473, -4.0377304 35.0684451, -4.0379101 35.0684692, -4.0380482 35.0685142, -4.0381779 35.0686066, -4.0382467 35.0687063, -4.0383066 35.0688551, -4.0383361 35.0689699, -4.0383777 35.0691727, -4.0384197 35.069287, -4.0385076 35.0694511, -4.0386182 35.0695987, -4.0387885 35.0698073, -4.0394269 35.0705525, -4.0396173 35.0708116, -4.0398126 35.0710408, -4.0399266 35.0711439, -4.0400612 35.0712287, -4.0401766 35.0712846, -4.0404609 35.0713538, -4.0408391 35.0714197, -4.0411811 35.0714701, -4.041511 35.0715228, -4.0418999 35.07157, -4.0421306 35.0715656, -4.0422298 35.0715547, -4.0423438 35.0715261, -4.0425342 35.0714416, -4.0427046 35.0713593, -4.043076 35.0711562, -4.0432718 35.0710563, -4.0435132 35.0709696, -4.0437466 35.0709202, -4.0440148 35.0709093, -4.0442388 35.0709137, -4.0445164 35.0709378, -4.0448597 35.0709718, -4.0450662 35.0709949, -4.0453318 35.0710157, -4.0454753 35.0710157, -4.0456188 35.0710015, -4.0458347 35.0709707, -4.0460372 35.0709411, -4.0462759 35.0709159, -4.0464838 35.0709104, -4.0467761 35.0709213, -4.0470886 35.0709378, -4.0473059 35.0709312, -4.0475339 35.0708994, -4.0477712 35.0708335, -4.0479523 35.0707534, -4.0481709 35.0706382, -4.0484726 35.070445, -4.0487248 35.0703374, -4.0489098 35.0702869, -4.0493873 35.0702178, -4.0500015 35.0701497, -4.0507016 35.0700937, -4.051057 35.0700696, -4.0513372 35.0700871, -4.0516779 35.070153, -4.0521003 35.0702331, -4.0523779 35.0702661, -4.0526153 35.0702781, -4.0529385 35.0702683, -4.0531491 35.0702101, -4.0533154 35.0701311, -4.0534508 35.0700378, -4.0535299 35.069917, -4.0535943 35.0697875, -4.0536372 35.0696404, -4.0536445 35.0695186, -4.0536506 35.0694154, -4.0536456 35.0690918, -4.0536693 35.0689217, -4.0540448 35.0679666, -4.0543 35.0674876, -4.0546397 35.0668365, -4.0550984 35.0660087, -4.0557587 35.0650358, -4.056326 35.0641293, -4.0568031 35.0632323, -4.0573105 35.0623309, -4.0577727 35.0616283, -4.058364 35.0608003, -4.0586611 35.0603826, -4.0588772 35.0599981, -4.0592734 35.0593163, -4.0598287 35.0584589, -4.060354 35.0576432, -4.0606001 35.0572624, -4.0607622 35.0569426, -4.0609717 35.0564711, -4.0610198 35.0563539, -4.0612034 35.0559061, -4.0614075 35.0553312, -4.0614795 35.0550216, -4.0615407 35.0547292, -4.0616206 35.0543017, -4.0616116 35.0540265, -4.0616016 35.053789, -4.0615756 35.0536383, -4.0615377 35.0535091, -4.0614358 35.0532742, -4.0613012 35.0529883, -4.0612484 35.052621, -4.0612435 35.052312, -4.061249 35.0522113, -4.0612844 35.0520805, -4.061308 35.0520348, -4.0613726 35.0519328, -4.0614277 35.0518766, -4.061527 35.0518063, -4.0616986 35.0517306, -4.0618944 35.051657, -4.0621237 35.0515747, -4.0623115 35.0515198, -4.062463 35.0514934, -4.0626025 35.0514967, -4.0627125 35.0515187, -4.0628345 35.0515703, -4.0629163 35.0516329, -4.0629874 35.0517097, -4.0630344 35.0517789, -4.0630773 35.0518843, -4.0631108 35.052038, -4.0631618 35.0522916, -4.0632489 35.052655, -4.0632918 35.05279, -4.0633254 35.0528658, -4.0633938 35.0529525, -4.0635158 35.0530546, -4.0636231 35.0531183, -4.0639208 35.0532379, -4.064146 35.0533101, -4.0644036 35.0533927, -4.0648609 35.0535355, -4.0652378 35.0536376, -4.0656093 35.0537199, -4.0659928 35.0538077, -4.0661886 35.0538681, -4.0663576 35.0539625, -4.0665776 35.0541008, -4.066764 35.0542425, -4.0669437 35.054361, -4.0670764 35.0544461, -4.067171 35.0544906, -4.0672655 35.0545164, -4.0673775 35.0545257, -4.0674533 35.0545125, -4.0675472 35.0544922, -4.0676612 35.05445, -4.0677564 35.0543934, -4.0678422 35.0543105, -4.0679374 35.0542062, -4.0680474 35.054086, -4.0681238 35.0540009, -4.0681547 35.0539735, -4.0682546 35.053901, -4.0683585 35.053833)","{""highway"": ""primary"", ""lanes"": ""2"", ""maxspeed"": ""60"", ""old_ref"": ""N2"", ""oneway"": ""no"", ""ref"": ""RN2"", ""surface"": ""asphalt""}"
route,34142617,way,MA-01-051,,,False,False,LineString,"LINESTRING(-4.027538 35.0768472, -4.027534 35.0770107, -4.0275358 35.0771655, -4.0275618 35.0774077, -4.0276198 35.0776703, -4.0276842 35.0779205, -4.0277834 35.0783442, -4.027833 35.0785933, -4.0278558 35.0787799, -4.0278518 35.0789105, -4.0278022 35.0791069, -4.0277338 35.079265, -4.0276064 35.0794252, -4.0274514 35.0795678, -4.0274227 35.0795942, -4.0271209 35.079783, -4.0267977 35.0799531, -4.026563 35.080053, -4.0262613 35.0801584, -4.0257007 35.0802966, -4.0253466 35.0803998, -4.0251106 35.0804854, -4.0247555 35.0807189, -4.0244561 35.0808651, -4.0241209 35.0809398, -4.0238151 35.0809793, -4.0233082 35.0810407, -4.0230654 35.0810791, -4.0228844 35.0811318, -4.0228052 35.0811801, -4.0227516 35.0812339, -4.0226778 35.081325, -4.0226389 35.0814512, -4.0226443 35.0816235, -4.0226913 35.081888, -4.0227181 35.0820559, -4.022698 35.0821645, -4.0226604 35.082282, -4.0225853 35.0824038, -4.022482 35.0824971, -4.0223224 35.0826178, -4.0220422 35.0827308, -4.0216613 35.0828285, -4.0212415 35.0829492, -4.0210055 35.0829964, -4.020744 35.0830974, -4.0205964 35.0831846, -4.0204328 35.0833037, -4.0202612 35.0834628, -4.0199943 35.083679, -4.0197542 35.0838349, -4.0189107 35.0843485, -4.018342 35.0846909, -4.0177748 35.0850376, -4.0175763 35.0851803, -4.0174609 35.0852747, -4.0173684 35.0853658, -4.0173322 35.0854448, -4.0173231 35.0855124, -4.0173268 35.0855951, -4.0173416 35.0856731, -4.0173899 35.0857565, -4.0174475 35.0858421, -4.0176643 35.0861319, -4.0177865 35.0863042, -4.0179018 35.0865164, -4.0179598 35.0866355, -4.0179759 35.0867946, -4.0179585 35.0869943, -4.0178955 35.0872226, -4.0177801 35.0876001, -4.017697 35.0878448, -4.0175951 35.0880632, -4.0174824 35.0882465, -4.0172759 35.088467, -4.0166616 35.0889905, -4.016262 35.0893405, -4.0160823 35.0894733, -4.0159281 35.0896423, -4.0158141 35.0897916, -4.0157551 35.0899745, -4.0157719 35.090228, -4.0158379 35.0906866)","{""highway"": ""primary"", ""lanes"": ""2"", ""maxspeed"": ""60"", ""old_ref"": ""N2"", ""ref"": ""RN2"", ""surface"": ""asphalt""}"
route,34142635,way,MA-01-051,,Avenue Mohammed 5 شارع محمد الخامس,False,False,LineString,"LINESTRING(-3.9277407 35.2338015, -3.927711 35.2338387, -3.9275017 35.2340414, -3.9272207 35.2343114, -3.926925 35.234571, -3.9263121 35.2351225, -3.9260674 35.2353909, -3.9260258 35.2354473, -3.9259373 35.235598, -3.9259312 35.2356434, -3.9259105 35.2357836, -3.9258997 35.2357989, -3.9258897 35.2359507, -3.9259034 35.2360839, -3.9259185 35.2361785, -3.925946 35.2363061, -3.9260633 35.236598, -3.9261061 35.2366909, -3.9262106 35.2369146, -3.9262479 35.2369691, -3.9264132 35.2372108, -3.9265113 35.2373155, -3.9266425 35.2374141, -3.9267115 35.2374537, -3.9269333 35.2375809, -3.9270765 35.2376573, -3.9271634 35.2377155, -3.9272479 35.2377819, -3.9273819 35.2378871, -3.9275506 35.2380582, -3.92767 35.2382181, -3.9277639 35.2383747, -3.9278093 35.2384943, -3.9278202 35.2385555, -3.9278128 35.2386449, -3.9277015 35.2388657, -3.9276615 35.2389598, -3.9275914 35.2391605)","{""highway"": ""primary"", ""lanes"": ""2"", ""lit"": ""yes, Automatic, 24/7"", ""maxspeed"": ""60"", ""name"": ""Avenue Mohammed 5 شارع محمد الخامس"", ""name:ar"": ""Avenue Mohammed 5 شارع محمد الخامس"", ""name:fr"": ""Avenue Mohammed 5"", ""old_ref"": ""R605"", ""oneway"": ""yes"", ""ref"": ""RP5211"", ""surface"": ""asphalt""}"
route,34142808,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.9284629 35.245869, -3.9282402 35.2461716, -3.9281564 35.2463104, -3.9280248 35.2465096, -3.9278322 35.2467461, -3.9277894 35.2467799, -3.927427 35.2468878)","{""highway"": ""tertiary"", ""oneway"": ""yes"", ""surface"": ""paving_stones""}"
route,40611220,way,MA-01-051,,La Rocade Méditerranéenne الطريق الساحلية المتوسطية,False,False,LineString,"LINESTRING(-3.9871456 35.1443451, -3.9875845 35.1440315)","{""highway"": ""primary"", ""lanes"": ""1"", ""maxspeed"": ""40"", ""name"": ""La Rocade Méditerranéenne الطريق الساحلية المتوسطية"", ""name:ar"": ""الطريق الساحلية المتوسطية"", ""name:fr"": ""La Rocade Méditerranéenne"", ""old_ref"": ""N16"", ""oneway"": ""yes"", ""ref"": ""RN16"", ""ref:ar"": ""ط و 16"", ""surface"": ""asphalt""}"
route,40703757,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.9943483 35.1852916, -3.9940694 35.185924, -3.9937564 35.1866457, -3.9935893 35.1870585, -3.9934418 35.1874289, -3.9932473 35.187852, -3.9930421 35.1883014, -3.9929214 35.1884636, -3.9928168 35.1885688, -3.9927149 35.1886565, -3.9925352 35.1887464, -3.9923018 35.1888384, -3.9919665 35.1889546, -3.9916205 35.1890554, -3.9909446 35.1892483, -3.9907113 35.1893382, -3.9905235 35.1894434, -3.9903706 35.1895574, -3.9902151 35.1897087, -3.9900568 35.1899257, -3.9899683 35.1900813, -3.9898986 35.1902282, -3.9896679 35.1908113, -3.9895391 35.1912475, -3.9895016 35.1914579, -3.9894989 35.1916398, -3.9895231 35.1918722, -3.9895177 35.1921243, -3.9894426 35.192418, -3.9893514 35.1926372, -3.989118 35.1929704, -3.988815 35.193297, -3.9885655 35.1935227, -3.9880613 35.1939808, -3.9877501 35.1942395, -3.9874926 35.1944104, -3.9872834 35.1945266, -3.9871775 35.194577, -3.9870071 35.1946603, -3.9866638 35.1947918, -3.9862776 35.1949014, -3.9858136 35.1950373, -3.9855534 35.195136, -3.9851698 35.195285, -3.9848843 35.1953952, -3.9846361 35.195491, -3.9843303 35.1955875, -3.9841023 35.1956445, -3.9838851 35.1956708, -3.9836061 35.1956796, -3.9833459 35.1956708, -3.9831072 35.1956423, -3.9828417 35.1955875, -3.9826137 35.195502, -3.9823025 35.1953683, -3.9820746 35.1952587, -3.9817581 35.1951382, -3.9813906 35.195022, -3.9811063 35.1949102, -3.98083 35.1947677, -3.9804652 35.1946362, -3.9802319 35.1945836, -3.9799181 35.1945529, -3.9797102 35.1945617, -3.9794903 35.1946011, -3.9792985 35.1946713, -3.9791349 35.1947655, -3.9790785 35.1948357, -3.9790732 35.1949277, -3.9791214 35.1950088, -3.9792073 35.1950658, -3.9793307 35.1950823, -3.9795077 35.1950702, -3.9796981 35.1950614, -3.9798322 35.1950614, -3.9799663 35.1951031, -3.9801112 35.195171, -3.9801836 35.1952412, -3.9802828 35.195353, -3.9803419 35.1954801, -3.9803714 35.1956291, -3.9803445 35.1959601, -3.9803231 35.1962297, -3.980315 35.1965103, -3.9803392 35.1968368, -3.9803714 35.1971481, -3.9804009 35.1973454, -3.9804599 35.1975295, -3.9805725 35.1977399, -3.9806664 35.1979481, -3.9807254 35.198141, -3.9807308 35.198301, -3.9807093 35.1984851, -3.9806423 35.1986451, -3.9805484 35.198838, -3.9801729 35.199467, -3.9800012 35.199741, -3.9798537 35.2000062, -3.979277 35.200964, -3.9791349 35.2011985, -3.9790034 35.2013629, -3.9788479 35.2015492, -3.9784616 35.202005, -3.9781773 35.2023042, -3.9780888 35.2023886, -3.9778769 35.2025464, -3.9776355 35.2026647, -3.9773619 35.2027699, -3.9768952 35.2029321, -3.9762837 35.2031338, -3.9754763 35.2034165, -3.9749211 35.2036225, -3.9747521 35.203708, -3.9746556 35.2038044, -3.974618 35.2039184, -3.9746261 35.2040564, -3.974677 35.2041551, -3.9747816 35.2042362, -3.9748649 35.2042634, -3.9749292 35.2042844, -3.9751196 35.2043019, -3.9754629 35.2043173, -3.9758599 35.2043501, -3.9760128 35.2043764, -3.9760932 35.2044224, -3.9761549 35.2044926, -3.9761737 35.2045649, -3.9761683 35.2046438, -3.9761388 35.2047863, -3.9760771 35.2050054, -3.9760155 35.2052355, -3.9759779 35.2054459, -3.9759725 35.205687, -3.9759913 35.2059719, -3.976045 35.2065636, -3.9761254 35.2070721, -3.9761469 35.2071598, -3.9761952 35.2072365, -3.9762649 35.2072891, -3.9763802 35.207311, -3.976509 35.2073044, -3.9765975 35.2072693, -3.977083 35.2070458, -3.9772439 35.2069932, -3.9774048 35.2069559, -3.9775363 35.2069318, -3.9776865 35.206945, -3.9778072 35.2069844, -3.9779037 35.2070326, -3.9780003 35.2071072, -3.9780888 35.2072102, -3.9781585 35.2073284, -3.9782421 35.207509, -3.9783051 35.20765, -3.9783602 35.2077636, -3.9784185 35.2078481, -3.978476 35.207918, -3.9785692 35.2080011, -3.9786943 35.208095, -3.978872 35.2082095, -3.9792397 35.2084643, -3.9793224 35.2085346, -3.9793887 35.2086009, -3.9794391 35.2086687, -3.9794921 35.2087519, -3.9795278 35.2088403, -3.9795586 35.2089634, -3.9795747 35.2090576, -3.9795828 35.2091793, -3.9795747 35.2093118, -3.979556 35.20952, -3.9795305 35.2097677, -3.9795037 35.2100811, -3.9794727 35.2103931, -3.9794412 35.2107189, -3.979409 35.2110387, -3.9793776 35.2114419, -3.9793427 35.2118101, -3.9793159 35.2121454, -3.9793012 35.2123755, -3.9793038 35.2125497, -3.9793079 35.2126735, -3.979324 35.212759, -3.9793602 35.212874, -3.9794078 35.2129785, -3.9794751 35.21309, -3.9795788 35.2132301, -3.9796512 35.2133134, -3.979741 35.213389, -3.9798416 35.2134537, -3.979969 35.213515, -3.9800897 35.2135665, -3.9802198 35.2136027, -3.980374 35.2136301, -3.9805149 35.2136377, -3.9806584 35.2136246, -3.981058 35.2135567, -3.9813048 35.2135238, -3.9814523 35.2135085, -3.981581 35.2134964, -3.9817446 35.2134975, -3.9818868 35.2135205, -3.9819659 35.2135457, -3.9821188 35.213595, -3.9822395 35.2136509, -3.9824621 35.2137638, -3.9825654 35.2138317, -3.9826392 35.2138876, -3.9827022 35.2139347, -3.9827505 35.2139895, -3.9827961 35.2140563, -3.9828363 35.2141374, -3.9828712 35.2142568, -3.9829047 35.2144025, -3.9829959 35.2149493, -3.9830884 35.2155059, -3.9831769 35.2161688, -3.9832507 35.2166596, -3.9832628 35.2168382, -3.9832534 35.216939, -3.9832413 35.2170223, -3.9832118 35.2171033, -3.9831756 35.2171691, -3.9831206 35.2172491, -3.9830388 35.2173543, -3.9829396 35.2174474, -3.9828148 35.2175427, -3.9826553 35.2176468, -3.9824688 35.217752, -3.9822905 35.2178637, -3.9819713 35.2180379, -3.9816937 35.218199, -3.9815167 35.2183206, -3.981396 35.2184236, -3.9813316 35.2184981, -3.9812712 35.2185726, -3.981223 35.2186515, -3.9811975 35.2187205, -3.9811841 35.2188114, -3.9811693 35.2191095, -3.9811301 35.2194507, -3.9810904 35.2197923, -3.98108 35.21995, -3.9810936 35.2200262, -3.9811214 35.2200932, -3.9811617 35.2201559, -3.98122 35.2202068, -3.9812776 35.2202409, -3.9813504 35.220265, -3.9814216 35.2202772, -3.9815037 35.2202793, -3.9816031 35.2202663, -3.9816803 35.2202441, -3.9818175 35.2201906, -3.9820663 35.2200881, -3.9822706 35.2200031, -3.9824124 35.219948, -3.9825177 35.2199107, -3.9826016 35.2198928, -3.982682 35.2198901, -3.9827568 35.2199013, -3.982822 35.2199283, -3.9828691 35.2199565, -3.9829175 35.2200001, -3.9829625 35.2200574, -3.9829881 35.2201128, -3.9830043 35.2201841, -3.9830222 35.2202855, -3.9830453 35.2203929, -3.9830651 35.2205003, -3.983089 35.2206028, -3.9831215 35.2206858, -3.9831635 35.2207573, -3.9832139 35.2208173, -3.9832762 35.2208665, -3.9833518 35.2209033, -3.9834471 35.2209332, -3.9836182 35.2209687, -3.9837094 35.2209939, -3.9838126 35.2210388, -3.9838864 35.2210837, -3.9839414 35.2211385, -3.9839722 35.221201, -3.9840017 35.2212777, -3.9840058 35.2213489, -3.9840031 35.2214157, -3.9839843 35.2214803, -3.983936 35.2215735, -3.9838569 35.2217038, -3.9837764 35.2218079, -3.9837 35.2218912, -3.9835659 35.2219942, -3.9834237 35.222095, -3.9831622 35.2222571, -3.9827733 35.2225146, -3.9823616 35.2227874, -3.9822114 35.2228805, -3.9821135 35.2229342, -3.9820384 35.2229594, -3.981978 35.2229627, -3.9819136 35.2229561, -3.9818332 35.2229287, -3.981776 35.2228907, -3.981739 35.222848, -3.981717 35.2228062, -3.9817049 35.222753, -3.9817044 35.2227019, -3.9817251 35.2226247, -3.9817586 35.2225474, -3.9817969 35.2224606, -3.9818176 35.2223993, -3.9818283 35.2223538, -3.9818326 35.2223102, -3.9818283 35.2222667, -3.9818149 35.2222301, -3.9817891 35.222194, -3.9817489 35.2221657, -3.9817106 35.2221484, -3.9816556 35.2221406, -3.9816092 35.2221436, -3.9815625 35.2221526, -3.9815145 35.2221701, -3.9814718 35.2221951, -3.9814242 35.2222396, -3.9813045 35.2223877, -3.9811889 35.2225117, -3.9810623 35.2226371, -3.9809064 35.2227774, -3.9807549 35.222902, -3.9806125 35.2230191, -3.9805068 35.2231084, -3.9804263 35.2231872, -3.9803714 35.2232552, -3.9803231 35.2233472, -3.9802815 35.2234688, -3.9802668 35.223563, -3.9802453 35.2236364, -3.9802104 35.2237, -3.9801635 35.2237591, -3.9801139 35.2238051, -3.9800508 35.2238446, -3.9799382 35.2238829, -3.979788 35.223918, -3.9795788 35.2239421, -3.9794031 35.2239476, -3.9792328 35.2239377, -3.9790718 35.2239246, -3.9789243 35.2239202, -3.9787795 35.2239278, -3.9786172 35.2239498, -3.9784522 35.2239892, -3.9782149 35.2240626, -3.9780016 35.2241426, -3.9778474 35.2242105, -3.9776784 35.2242992, -3.9775296 35.2243934, -3.9773472 35.224526, -3.9771916 35.2246695, -3.9770293 35.2248295, -3.9768858 35.2249993, -3.976631 35.2252699, -3.9763212 35.2256018, -3.9761268 35.2257738, -3.9759175 35.225948, -3.9756855 35.2261277, -3.9754441 35.2263117, -3.9751987 35.2265111, -3.9750056 35.2266765, -3.9748648 35.2268058, -3.9747655 35.226911, -3.9745885 35.2271169, -3.9744128 35.2273295, -3.9742868 35.2274872, -3.9741848 35.2276384, -3.9741084 35.2277896, -3.9739877 35.228058, -3.9738952 35.2282365, -3.9737906 35.2284173, -3.9736672 35.2285959, -3.9735706 35.2287207, -3.9734714 35.2288292, -3.9733279 35.228942, -3.9731938 35.2290373, -3.9730476 35.229125, -3.972833 35.2292225, -3.9726184 35.2292959, -3.9723985 35.2293506, -3.972202 35.2293978, -3.9719915 35.2294498, -3.9719157 35.2294657, -3.9718057 35.2294909, -3.9717333 35.2295029, -3.9713189 35.2295818, -3.9709058 35.2296629, -3.9703895 35.2297691, -3.9701749 35.2298212, -3.9699563 35.2298743, -3.9693394 35.2300244, -3.9688204 35.2301602, -3.9686474 35.2302051, -3.9685541 35.2302283, -3.9684489 35.2302544, -3.9682759 35.2302884, -3.9680909 35.2303114, -3.967938 35.2303136, -3.9677878 35.2303048, -3.9674753 35.2302906, -3.9671963 35.2302719, -3.9669067 35.23025, -3.9666975 35.2302489, -3.966511 35.2302566, -3.9663421 35.2302676, -3.9661744 35.2302928, -3.9660497 35.2303081, -3.9658941 35.2303355, -3.9655267 35.2304103, -3.9652517 35.2304711, -3.9649731 35.2305336, -3.9647391 35.2305935, -3.9645553 35.2306369, -3.9643278 35.2306855, -3.9641011 35.2307256, -3.963828 35.2307644, -3.9634372 35.2308219, -3.9631905 35.2308624, -3.9628498 35.230927, -3.9624046 35.231018, -3.9620814 35.2311188, -3.9618132 35.2311867, -3.9615254 35.2312518, -3.9613189 35.2313208, -3.9612266 35.2313494, -3.9611177 35.2313822, -3.9608724 35.231472, -3.9605518 35.2315657, -3.9602944 35.2316506, -3.9599175 35.2317853, -3.9594146 35.2319639, -3.9588191 35.2321731, -3.9581667 35.2324125, -3.9575968 35.2326167, -3.9575699 35.2326258)","{""highway"": ""tertiary"", ""lanes"": ""2"", ""maxspeed"": ""60"", ""old_ref"": ""R605"", ""oneway"": ""no"", ""ref"": ""RP5209"", ""surface"": ""asphalt""}"
route,40703883,way,MA-01-051,,Avenue Hassan 2 شارع الحسن الثاني,False,False,LineString,"LINESTRING(-3.9313646 35.240973, -3.9315527 35.2409227, -3.9318214 35.2408508, -3.9320116 35.2407999, -3.9321366 35.2407664, -3.9323209 35.2407137, -3.9328422 35.2405642, -3.932945 35.2405348, -3.9335023 35.2403916, -3.9341734 35.2402192, -3.934215 35.2402086, -3.9343731 35.240168, -3.9344942 35.2401333, -3.9345718 35.2401085, -3.934712 35.2400622, -3.9348076 35.2400265, -3.9349193 35.2399815, -3.9354348 35.2397732, -3.9355358 35.2397317, -3.9358624 35.2395975, -3.9361611 35.2394748, -3.9363918 35.2393801, -3.9375341 35.2389108, -3.937546 35.2389059, -3.9376547 35.2388613, -3.9383207 35.2385877, -3.9384605 35.2385303, -3.9384713 35.2385259, -3.9388519 35.2383695, -3.9388614 35.2383656, -3.9391648 35.238241, -3.9392044 35.2382184, -3.939239 35.2381805)","{""highway"": ""tertiary"", ""lanes"": ""2"", ""lit"": ""yes, Automatic, 24/7"", ""maxspeed"": ""60"", ""name"": ""Avenue Hassan 2 شارع الحسن الثاني"", ""name:ar"": ""شارع الحسن الثاني"", ""name:es"": ""Avenida Hasán II"", ""name:fr"": ""Avenue Hassan 2"", ""oneway"": ""yes"", ""surface"": ""asphalt""}"
route,40704177,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.927553 35.2220788, -3.9275811 35.2221076, -3.9276191 35.2221275, -3.9276629 35.2221365, -3.9277037 35.2221342, -3.9277419 35.2221224, -3.9277742 35.2221019, -3.9277979 35.2220747, -3.9278124 35.2220321, -3.9278059 35.2219881, -3.9277792 35.2219496, -3.9277362 35.2219222, -3.9276835 35.2219104, -3.9276331 35.2219152, -3.9275882 35.2219345, -3.9275548 35.2219657, -3.9275373 35.2220046, -3.9275377 35.2220441, -3.927553 35.2220788)","{""highway"": ""primary"", ""junction"": ""roundabout"", ""lanes"": ""2"", ""lit"": ""yes, Automatic, 24/7"", ""maxspeed"": ""40"", ""old_ref"": ""P5211"", ""oneway"": ""yes"", ""ref"": ""RP5211"", ""surface"": ""asphalt""}"
route,40704180,way,MA-01-051,,Avenue Mohammed 5 شارع محمد الخامس,False,False,LineString,"LINESTRING(-3.9204788 35.2172311, -3.9213533 35.2175415, -3.9216985 35.2176701, -3.9218321 35.2177225, -3.9219721 35.2177907, -3.9220704 35.2178554, -3.9221719 35.2179441, -3.9222857 35.2180744, -3.9223865 35.2182685, -3.9224274 35.2184197, -3.9224445 35.2185325, -3.9224422 35.2186585, -3.9224135 35.2188059, -3.9223539 35.2189491, -3.9222684 35.2190764, -3.9221406 35.2192063, -3.9220056 35.2193122, -3.9218675 35.2193826, -3.9217268 35.219439, -3.9215602 35.2194954, -3.9208549 35.2197346, -3.9207412 35.2197782, -3.9206496 35.2198382, -3.9205873 35.2199035, -3.9205498 35.219981, -3.9205418 35.220064, -3.9205516 35.2201367, -3.9205923 35.2202181, -3.9206525 35.2202898, -3.920713 35.2203316, -3.9207929 35.2203686, -3.9208864 35.2203933, -3.9210099 35.2204093, -3.9211723 35.2204343, -3.9212762 35.2204566, -3.9213632 35.2204813, -3.9214535 35.2205192, -3.9215396 35.2205637, -3.9216324 35.2206314, -3.9221232 35.221087, -3.9221736 35.2211257, -3.9222667 35.2211845, -3.922338 35.2212198, -3.92245 35.2212556, -3.9225769 35.2212777, -3.9227458 35.22129, -3.922908 35.2212845, -3.9230567 35.2212776, -3.9232358 35.221268, -3.9239686 35.2212102, -3.92469 35.2211418, -3.9249194 35.2211308, -3.9251447 35.2211276, -3.9253928 35.2211374, -3.9255738 35.2211571, -3.9258488 35.2211933, -3.9261545 35.22127, -3.926459 35.2213675, -3.926554 35.2214043, -3.9267728 35.2214891, -3.9270661 35.2216359, -3.9272992 35.2217637, -3.927396 35.2218289, -3.9274386 35.2218663, -3.9274769 35.2219141, -3.9275373 35.2220046)","{""highway"": ""primary"", ""lanes"": ""2"", ""lit"": ""yes, Automatic, 24/7"", ""maxspeed"": ""40"", ""name"": ""Avenue Mohammed 5 شارع محمد الخامس"", ""name:ar"": ""Avenue Mohammed 5 شارع محمد الخامس"", ""name:fr"": ""Avenue Mohammed 5"", ""old_ref"": ""P5211"", ""oneway"": ""yes"", ""ref"": ""RP5211"", ""surface"": ""asphalt""}"
